abacus-seeds | Abacus Seeds | noodles | 520 | my
air-barli | Air Barli | drinks | 100 | my
air-kelapa | Air Kelapa | drinks | 100 | my
air-mata-kucing | Air Mata Kucing | drinks | 180 | my
air-tebu | Air Tebu | drinks | 220 | my,sg
ais-kacang | Ais Kacang (ABC) | dessert | 350 | my,sg
ais-krim | Ais Krim (Local Ice Cream) | dessert | 80 | my
ais-krim-goreng | Ais Krim Goreng (Fried Ice Cream) | dessert | 360 | my
ais-krim-potong | Ais Krim Potong | dessert | 110 | my
akok | Akok (Kelantan Kuih) | snacks | 180 | my
ambuyat | Ambuyat | rice | 245 | my
amplang | Amplang | snacks | 135 | my
ang-ku-kueh | Ang Ku Kueh | snacks | 180 | sg
apam-balik | Apam Balik | snacks | 290 | my,sg
appam | Appam | mamak | 138 | sg
arroz-caldo | Arroz Caldo | soup | 400 | ph
asam-boi | Asam Boi Drink | drinks | 110 | my
asam-laksa | Asam Laksa | noodles | 330 | my
asam-pedas | Asam Pedas | lauk | 250 | my
asam-rebus | Asam Rebus | lauk | 180 | my
ayam-bakar | Ayam Bakar | lauk | 290 | my
ayam-geprek | Ayam Geprek | lauk | 395 | id
ayam-goreng | Ayam Goreng | lauk | 390 | my
ayam-goreng-kremes | Ayam Goreng Kremes | lauk | 480 | id
ayam-kapitan | Ayam Kapitan (Kari Kapitan) | lauk | 410 | my
ayam-masak | Ayam Masak | lauk | 280 | my
ayam-masak-arak | Ayam Masak Arak (Rice Wine Chicken) | lauk | 530 | my
ayam-percik | Ayam Percik | lauk | 360 | my
bak-chang | Bak Chang | snacks | 352 | sg
bak-chor-mee | Bak Chor Mee | noodles | 511 | sg
bak-kut-teh | Bak Kut Teh | soup | 405 | my,sg
bak-kwa | Bak Kwa | snacks | 179 | sg
baked-pork-chop-rice | Baked Pork Chop Rice | western | 1300 | hk
bakso | Bakso | soup | 480 | id
bakwan | Bakwan | snacks | 135 | id
balut | Balut | snacks | 190 | ph
bambangan | Bambangan | veg | 35 | my
banana-leaf-rice | Banana Leaf Rice | rice | 850 | my
banana-milk | Banana Milk | drinks | 220 | kr
banh-bao | Banh Bao | snacks | 360 | vn
banh-canh-cua | Banh Canh Cua | noodles | 520 | vn
banh-cuon | Banh Cuon | snacks | 300 | vn
banh-flan | Banh Flan | dessert | 125 | vn
banh-mi-thit | Banh Mi Thit | snacks | 500 | vn
banh-trang-tron | Banh Trang Tron | snacks | 450 | vn
banh-xeo | Banh Xeo | lauk | 350 | vn
batagor | Batagor | snacks | 600 | id
bbq-chicken-wings | BBQ Chicken Wings | lauk | 196 | sg
beaufort-mee | Beaufort Mee | noodles | 620 | my
bebek-goreng | Bebek Goreng | lauk | 380 | id
bee-hoon-goreng | Bee Hoon Goreng | noodles | 450 | my
beef-brisket-noodles | Beef Brisket Noodles (Ngau Lam Min) | noodles | 550 | hk
beef-chow-fun | Beef Chow Fun (Gon Chau Ngau Ho) | noodles | 970 | hk
beef-hor-fun | Beef Hor Fun | noodles | 697 | sg
begedil | Begedil (Bergedil) | snacks | 190 | my
bibimbap | Bibimbap | rice | 610 | kr
bicol-express | Bicol Express | lauk | 520 | ph
bingka-ubi | Kuih Bingka Ubi (Baked Tapioca Cake) | dessert | 230 | my
bingsu | Bingsu | dessert | 450 | kr
black-pepper-crab | Black Pepper Crab | lauk | 344 | sg
bo-kho | Bo Kho | soup | 550 | vn
bo-la-lot | Bo La Lot | lauk | 580 | vn
bo-lo-bao | Pineapple Bun (Bo Lo Bao) | snacks | 310 | hk
bo-lo-yau | Bo Lo Yau (Pineapple Bun with Butter) | snacks | 390 | hk
bo-ne | Bo Ne | western | 680 | vn
boat-noodles | Boat Noodles (Kuay Teow Reua) | noodles | 300 | th
bosou | Bosou | lauk | 35 | my
bossam | Bossam | lauk | 620 | kr
braised-duck-rice | Braised Duck Rice | rice | 604 | sg
bubble-tea | Bubble Tea (Pearl Milk Tea) | drinks | 380 | my,sg
bubur-ayam | Bubur Ayam | soup | 330 | my
bubur-cha-cha | Bubur Cha Cha | dessert | 360 | my,sg
bubur-jagung | Bubur Jagung | dessert | 360 | my
bubur-lambuk | Bubur Lambuk | soup | 350 | my
budae-jjigae | Budae Jjigae | soup | 630 | kr
buko-juice | Buko Juice | drinks | 160 | ph
bulalo | Bulalo | soup | 520 | ph
bulgogi | Bulgogi | lauk | 330 | kr
bun-bo-hue | Bun Bo Hue | noodles | 630 | vn
bun-cha | Bun Cha | noodles | 500 | vn
bun-dau-mam-tom | Bun Dau Mam Tom | noodles | 700 | vn
bun-rieu | Bun Rieu | noodles | 480 | vn
bun-thit-nuong | Bun Thit Nuong | noodles | 480 | vn
bungeoppang | Bungeoppang | snacks | 110 | kr
burger-bakar | Burger Bakar | western | 720 | my
butod | Butod | snacks | 20 | my
butter-prawns | Butter Prawns | lauk | 580 | my
ca-kho-to | Ca Kho To | lauk | 300 | vn
ca-phe-sua-da | Ca Phe Sua Da | drinks | 130 | vn
ca-phe-trung | Ca Phe Trung | drinks | 230 | vn
caldereta | Caldereta | lauk | 390 | ph
canh-chua | Canh Chua | soup | 150 | vn
cart-noodles | Cart Noodles (Che Zai Min) | noodles | 570 | hk
cekodok-pisang | Cekodok Pisang (Jemput-Jemput) | snacks | 225 | my
cempedak-goreng | Cempedak Goreng | snacks | 185 | my
cendol | Cendol | dessert | 330 | my,sg
century-egg-pork-congee | Century Egg and Pork Congee | soup | 260 | hk
cereal-prawns | Cereal Prawns | lauk | 330 | sg
cha-gio | Cha Gio | snacks | 480 | vn
cha-yen | Cha Yen | drinks | 300 | th
chai-tow-kway | Chai Tow Kway (Carrot Cake) | snacks | 493 | sg
chao-ga | Chao Ga | soup | 250 | vn
chapati | Chapati | mamak | 200 | my
char-kuey-teow | Char Kuey Teow | noodles | 742 | my,sg
char-siew | Char Siew (BBQ Pork) | lauk | 290 | my
char-siew-bao | Char Siew Bao | dimsum | 240 | my
char-siew-rice | Char Siew Rice | rice | 570 | my,sg
che-ba-mau | Che Ba Mau | dessert | 330 | vn
chee-cheong-fun | Chee Cheong Fun | noodles | 350 | my,sg
cheng-tng | Cheng Tng | dessert | 160 | my,sg
chicken-65 | Chicken 65 | lauk | 460 | my
chicken-adobo | Chicken Adobo | rice | 520 | ph
chicken-chop | Chicken Chop | western | 700 | my
chicken-feet | Chicken Feet (Phoenix Claws) | dimsum | 280 | my
chicken-inasal | Chicken Inasal | lauk | 450 | ph
chicken-karaage | Chicken Karaage | lauk | 468 | jp
chicken-rice | Chicken Rice | rice | 607 | my,sg
chili-crab | Chili Crab | lauk | 450 | my,sg
chinese-rojak | Chinese Rojak | snacks | 559 | sg
chwee-kueh | Chwee Kueh | snacks | 342 | sg
cilok | Cilok | snacks | 320 | id
cincau | Cincau | drinks | 80 | my
claypot-chicken-rice | Claypot Chicken Rice | rice | 700 | my
claypot-lou-shu-fun | Claypot Lou Shu Fun | noodles | 510 | my
claypot-rice | Claypot Rice (Bo Zai Fan) | rice | 1300 | hk
cocktail-bun | Cocktail Bun (Gai Mei Bao) | snacks | 350 | hk
coconut-shake | Coconut Shake | drinks | 270 | my
coffee-bun | Coffee Bun (Rotiboy) | snacks | 340 | my
com-tam-suon | Com Tam Suon | rice | 700 | vn
coto-makassar | Coto Makassar | soup | 290 | id
crispy-pata | Crispy Pata | lauk | 560 | ph
cucur-badak | Cucur Badak | snacks | 140 | my
cucur-jagung | Cucur Jagung | snacks | 120 | my
cucur-udang | Cucur Udang | snacks | 145 | my
curry-fish-balls | Curry Fish Balls | snacks | 120 | hk
curry-laksa | Curry Laksa | noodles | 600 | my,sg
daging-dendeng | Daging Dendeng | lauk | 330 | my
daging-harimau-menangis | Daging Harimau Menangis | lauk | 630 | my
daging-masak | Daging Masak | lauk | 290 | my
daifuku | Daifuku | dessert | 225 | jp
dakgalbi | Dakgalbi | lauk | 580 | kr
daun-ubi-tumbuk | Daun Ubi Tumbuk | veg | 270 | my
dinuguan | Dinuguan | lauk | 330 | ph
dodol | Dodol | snacks | 100 | my
doenjang-jjigae | Doenjang Jjigae | soup | 145 | kr
durian | Durian | dessert | 175 | my
economy-bee-hoon | Economy Bee Hoon | noodles | 369 | sg
edamame | Edamame | veg | 175 | jp
egg-tart | Egg Tart | dessert | 195 | my,sg
eomuk | Eomuk | snacks | 100 | kr
es-kopi-susu | Es Kopi Susu | drinks | 220 | id
es-teh-manis | Es Teh Manis | drinks | 90 | id
